165,1.28%,1.16%,2.18%
166,1.28%,1.16%,2.18%
167,1.28%,1.17%,2.18%
168,1.28%,1.17%,2.18%
169,1.29%,1.17%,2.19%
170,1.29%,1.17%,2.19%
171,1.29%,1.17%,2.19%
172,1.29%,1.17%,2.19%
173,1.29%,1.17%,2.19%
174,1.29%,1.17%,2.20%
175,1.29%,1.18%,2.20%
176,1.29%,1.18%,2.20%
177,1.30%,1.18%,2.20%
178,1.30%,1.18%,2.20%
179,1.30%,1.18%,2.21%
180,1.30%,1.18%,2.21%
181,1.30%,1.18%,2.21%
182,1.30%,1.18%,2.21%
183,1.30%,1.18%,2.21%
184,1.30%,1.18%,2.21%
185,1.30%,1.18%,2.21%
186,1.30%,1.18%,2.21%
187,1.30%,1.18%,2.21%
188,1.30%,1.18%,2.21%
189,1.30%,1.18%,2.21%
190,1.30%,1.18%,2.21%
191,1.30%,1.18%,2.21%
192,1.30%,1.18%,2.21%
193,1.30%,1.18%,2.21%
194,1.30%,1.18%,2.21%
195,1.30%,1.18%,2.21%
196,1.30%,1.18%,2.21%
197,1.30%,1.18%,2.21%
198,1.30%,1.18%,2.21%
199,1.30%,1.18%,2.21%
200,1.30%,1.18%,2.21%
201,1.30%,1.18%,2.21%
202,1.30%,1.18%,2.21%
203,1.30%,1.18%,2.21%
204,1.30%,1.18%,2.21%
205,1.30%,1.18%,2.21%
206,1.30%,1.18%,2.21%
207,1.30%,1.18%,2.21%
208,1.30%,1.18%,2.21%
209,1.30%,1.18%,2.21%
210,1.30%,1.18%,2.21%
211,1.30%,1.18%,2.21%
212,1.30%,1.18%,2.21%
213,1.30%,1.18%,2.21%
214,1.30%,1.18%,2.21%
215,1.30%,1.18%,2.21%
216,1.30%,1.18%,2.21%
217,1.30%,1.18%,2.21%
218,1.30%,1.18%,2.21%
219,1.30%,1.18%,2.21%
220,1.30%,1.18%,2.21%
221,1.30%,1.18%,2.21%
222,1.30%,1.18%,2.21%
223,1.30%,1.18%,2.21%
224,1.30%,1.18%,2.21%
225,1.30%,1.18%,2.21%
226,1.30%,1.18%,2.21%
227,1.30%,1.18%,2.21%
228,1.30%,1.18%,2.21%
229,1.30%,1.18%,2.21%
230,1.30%,1.18%,2.21%
231,1.30%,1.18%,2.21%
232,1.30%,1.18%,2.21%
233,1.30%,1.18%,2.21%
234,1.30%,1.18%,2.21%
235,1.30%,1.18%,2.21%
236,1.30%,1.18%,2.21%
237,1.30%,1.18%,2.21%
238,1.30%,1.18%,2.21%
239,1.30%,1.18%,2.21%
240,1.30%,1.18%,2.21%
241,1.30%,1.18%,2.21%
242,1.30%,1.18%,2.21%
243,1.30%,1.18%,2.21%
244,1.30%,1.18%,2.21%
245,1.30%,1.18%,2.21%
246,1.30%,1.18%,2.21%
247,1.30%,1.18%,2.21%
248,1.30%,1.18%,2.21%
249,1.30%,1.18%,2.21%
250,1.30%,1.18%,2.21%
251,1.30%,1.18%,2.21%
252,1.30%,1.18%,2.21%
253,1.30%,1.18%,2.21%
254,1.30%,1.18%,2.21%
255,1.30%,1.18%,2.21%
256,1.30%,1.18%,2.21%
257,1.30%,1.18%,2.21%
258,1.30%,1.18%,2.21%
259,1.30%,1.18%,2.21%
260,1.30%,1.18%,2.21%
261,1.30%,1.18%,2.21%
262,1.30%,1.18%,2.21%
263,1.30%,1.18%,2.21%
264,1.30%,1.18%,2.21%
265,1.30%,1.18%,2.21%
266,1.30%,1.18%,2.21%
267,1.30%,1.18%,2.21%
268,1.30%,1.18%,2.21%
269,1.30%,1.18%,2.21%
270,1.30%,1.18%,2.21%
271,1.30%,1.18%,2.21%
272,1.30%,1.18%,2.21%
273,1.30%,1.18%,2.21%
274,1.30%,1.18%,2.21%
275,1.30%,1.18%,2.21%
276,1.30%,1.18%,2.21%
277,1.30%,1.18%,2.21%
278,1.30%,1.18%,2.21%
279,1.30%,1.18%,2.21%
280,1.30%,1.18%,2.21%
281,1.30%,1.18%,2.21%
282,1.30%,1.18%,2.21%
283,1.30%,1.18%,2.21%
284,1.30%,1.18%,2.21%
285,1.30%,1.18%,2.21%
286,1.30%,1.18%,2.21%
287,1.30%,1.18%,2.21%
288,1.30%,1.18%,2.21%
289,1.30%,1.18%,2.21%
290,1.30%,1.18%,2.21%
291,1.30%,1.18%,2.21%
292,1.30%,1.18%,2.21%
293,1.30%,1.18%,2.21%
294,1.30%,1.18%,2.21%
295,1.30%,1.18%,2.21%
296,1.30%,1.18%,2.21%
297,1.30%,1.18%,2.21%
298,1.30%,1.18%,2.21%
299,1.30%,1.18%,2.21%
300,1.30%,1.18%,2.21%
301,1.30%,1.18%,2.21%
302,1.30%,1.18%,2.21%
303,1.30%,1.18%,2.21%
304,1.30%,1.18%,2.21%
305,1.30%,1.18%,2.21%
306,1.30%,1.18%,2.21%
307,1.30%,1.18%,2.21%
308,1.30%,1.18%,2.21%
309,1.30%,1.18%,2.21%
310,1.30%,1.18%,2.21%
311,1.30%,1.18%,2.21%
312,1.30%,1.18%,2.21%
313,1.30%,1.18%,2.21%
314,1.30%,1.18%,2.21%
315,1.30%,1.18%,2.21%
316,1.30%,1.18%,2.21%
317,1.30%,1.18%,2.21%
318,1.30%,1.18%,2.21%
319,1.30%,1.18%,2.21%
320,1.30%,1.18%,2.21%
321,1.30%,1.18%,2.21%
322,1.30%,1.18%,2.21%
323,1.30%,1.18%,2.21%
324,1.30%,1.18%,2.21%
325,1.30%,1.18%,2.21%
326,1.30%,1.18%,2.21%
327,1.30%,1.18%,2.21%
328,1.30%,1.18%,2.21%
329,1.30%,1.18%,2.21%
330,1.30%,1.18%,2.21%
331,1.30%,1.18%,2.21%
332,1.30%,1.18%,2.21%
333,1.30%,1.18%,2.21%
334,1.30%,1.18%,2.21%
335,1.30%,1.18%,2.21%
336,1.30%,1.18%,2.21%
337,1.30%,1.18%,2.21%
338,1.30%,1.18%,2.21%
339,1.30%,1.18%,2.21%
340,1.30%,1.18%,2.21%
341,1.30%,1.18%,2.21%
342,1.30%,1.18%,2.21%
343,1.30%,1.18%,2.21%
344,1.30%,1.18%,2.21%
345,1.30%,1.18%,2.21%
346,1.30%,1.18%,2.21%
347,1.30%,1.18%,2.21%
348,1.30%,1.18%,2.21%
349,1.30%,1.18%,2.21%
350,1.30%,1.18%,2.21%
351,1.30%,1.18%,2.21%
352,1.30%,1.18%,2.21%
353,1.30%,1.18%,2.21%
354,1.30%,1.18%,2.21%
355,1.30%,1.18%,2.21%
356,1.30%,1.18%,2.21%
357,1.30%,1.18%,2.21%
358,1.30%,1.18%,2.21%
359,1.30%,1.18%,2.21%
360,1.30%,1.18%,2.21%
361,1.30%,1.18%,2.21%
362,1.30%,1.18%,2.21%
363,1.30%,1.18%,2.21%
364,1.30%,1.18%,2.21%
365,1.30%,1.18%,2.21%
366,1.30%,1.18%,2.21%
367,1.30%,1.18%,2.21%
368,1.30%,1.18%,2.21%
369,1.30%,1.18%,2.21%
370,1.30%,1.18%,2.21%
371,1.30%,1.18%,2.21%
372,1.30%,1.18%,2.21%
373,1.30%,1.18%,2.21%
374,1.30%,1.18%,2.21%
375,1.30%,1.18%,2.21%
376,1.30%,1.18%,2.21%
377,1.30%,1.18%,2.21%
378,1.30%,1.18%,2.21%
379,1.30%,1.18%,2.21%
380,1.30%,1.18%,2.21%
381,1.30%,1.18%,2.21%
382,1.30%,1.18%,2.21%
383,1.30%,1.18%,2.21%
384,1.30%,1.18%,2.21%
385,1.30%,1.18%,2.21%
386,1.30%,1.18%,2.21%
387,1.30%,1.18%,2.21%
388,1.30%,1.18%,2.21%
389,1.30%,1.18%,2.21%
390,1.30%,1.18%,2.21%
391,1.30%,1.18%,2.21%
