property,mortgage,percent fin,first repay, max repay worst, primeDecrease, diffNperFactor, rate customer, size of jump, min kalatz, max var, max cpi 
3800000.0,2000000.0,0.5263157894736842,8000.0,12000.0,0.6,0.3,4.0,0.05,0.1,0.4,0.6

first repay , all payment main ,allRateTotalPaymentMain , max repay main, all payment worst, allRateTotalPaymentWorst, max repay worst, kalatz rate, kalatz nper, kalatz pv, kalatz prop,katz rate, katz nper, katz pv, katz prop, var 5 Cpi rate, var 5 Cpi nper, var 5 Cpi pv, var 5 Cpi prop,var 5 Const rate, var 5 Const nper, var 5 Const pv, var 5 Const prop,prime rate, prime nper, prime pv , prime prop,rate customer mix,first repay kalatz, total payment kalatz , total rate kalatz,first repay katz, total payment katz main, total rate katz main , total payment katz worst,total rate katz worst ,first repay var5cpi, total payment var5cpi main, total rate var5cpi main , total payment var5cpi worst,total rate var5cpi worst ,first repay var5const, total payment var5const main, total rate var5const main , total payment var5const worst,total rate var5const worst ,first repay prime, total payment prime main, total rate prime main , total payment prime worst,total rate prime worst
7987.985383140518,3141772.9852227177,1141772.9852227177,9181.383118621987,3338858.263341263,1338858.263341263,10079.321187329155,3.28,360.0,1200000.0,0.6,2.7444444444444445,360.0,200000.0,0.1,2.768,300.0,0.0,0.0,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,5242.254315200122,1887211.5534719988,687211.5534719988,815.8939452613944,362082.9784309819,162082.97843098192,362082.9784309819,222901.15801523207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7998.3173374624985,3167508.7380185835,1167508.7380185835,9316.078369507622,3381561.378197278,1381561.378197278,10299.169492404166,3.28,360.0,1200000.0,0.6,2.7444444444444445,348.0,100000.0,0.05,2.768,360.0,100000.0,0.05,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,5242.254315200122,1887211.5534719988,687211.5534719988,417.03066078021266,177540.8434227182,77540.8434227182,177540.8434227182,106133.5375281774,409.1952388031626,210277.88780412875,110277.88780412875,259470.73534306997,159470.73534306997,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7975.725427702495,3113675.4116879757,1113675.411687976,9352.369236976916,3341169.779598644,1341169.7795986442,10425.018132307468,3.144444444444445,348.0,1099999.9999999998,0.5499999999999999,2.7444444444444445,360.0,300000.00000000006,0.15000000000000005,2.768,300.0,0.0,0.0,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.30000000000000004,0.0,4822.047387131401,1678072.4907217636,578072.4907217638,1223.8409178920917,543124.4676464744,243124.4676464743,543124.4676464744,334351.7370228486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7989.994622746908,3137078.5775550585,1137078.5775550585,9440.684061570744,3371665.6989001352,1371665.6989001352,10522.271207239131,3.1166666666666667,348.0,1200000.0,0.6,2.3666666666666667,252.0,0.0,0.0,2.762,360.0,200000.0,0.1,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,5242.403340320637,1824356.3624315388,624356.3624315388,0.0,0.0,0.0,0.0,0.0,817.7541597472695,420243.7618037824,220243.76180378243,518563.78461456473,318563.78461456473,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7988.637984359334,3147533.5885189855,1147533.5885189855,9465.530407179904,3382933.226760445,1382933.2267604452,10567.23264946561,3.144444444444445,348.0,999999.9999999999,0.49999999999999994,2.7444444444444445,360.0,300000.00000000006,0.15000000000000002,2.768,300.0,0.0,0.0,3.54,360.0,100000.0,0.05,-0.6,360.0,600000.0,0.3,0.0,4383.679442846728,1525520.4461106956,525520.4461106957,1223.8409178920917,543124.4676464744,243124.4676464743,543124.4676464744,334351.7370228486,0.0,0.0,0.0,0.0,0.0,451.2805009415111,186410.22144207783,86410.22144207783,194315.4917728693,94315.49177286931,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7999.942505680865,3169699.225815377,1169699.2258153774,9550.226560040966,3412145.217183524,1412145.217183524,10660.70457207009,3.1166666666666667,348.0,1099999.9999999998,0.5499999999999999,2.3666666666666667,252.0,0.0,0.0,2.762,360.0,200000.0,0.1,3.46,360.0,100000.0,0.05,-0.6,360.0,600000.0,0.30000000000000004,0.0,4805.536395293916,1672326.665562243,572326.6655622432,0.0,0.0,0.0,0.0,0.0,817.7541597472695,420243.7618037824,220243.76180378243,518563.78461456473,318563.78461456473,446.8148279606776,184650.34512961484,84650.34512961484,192509.21515268405,92509.21515268405,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7994.504769057441,3142194.678020251,1142194.6780202512,9532.752944914535,3397871.4991482105,1397871.4991482107,10673.090935085365,3.1166666666666667,348.0,1099999.9999999998,0.5499999999999999,2.3555555555555556,300.0,100000.0,0.05,2.762,360.0,200000.0,0.1,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.30000000000000004,0.0,4805.536395293916,1672326.665562243,572326.6655622432,441.377091337254,157145.79733448822,57145.79733448822,157145.79733448822,78235.49711737089,817.7541597472695,420243.7618037824,220243.76180378243,518563.78461456473,318563.78461456473,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7995.141070173991,3135910.5186910667,1135910.518691067,9518.614152015456,3378555.8529752204,1378555.8529752207,10703.342766127898,3.144444444444445,348.0,1099999.9999999998,0.5499999999999999,2.7444444444444445,348.0,200000.0,0.1,2.768,360.0,100000.0,0.05,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.30000000000000004,0.0,4822.047387131401,1678072.4907217636,578072.4907217638,834.0613215604253,355081.6868454364,155081.6868454364,355081.6868454364,212267.0750563548,409.1952388031626,210277.88780412875,110277.88780412875,259470.73534306997,159470.73534306997,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7999.590300063833,3143634.12413139,1143634.12413139,9565.703344520067,3404374.0491370624,1404374.0491370624,10767.464644485803,3.144444444444445,348.0,999999.9999999999,0.49999999999999994,2.7444444444444445,360.0,300000.00000000006,0.15000000000000002,2.768,300.0,100000.0,0.05,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,4383.679442846728,1525520.4461106956,525520.4461106957,1223.8409178920917,543124.4676464744,243124.4676464743,543124.4676464744,334351.7370228486,462.2328166460102,182510.75705448203,82510.75705448203,215756.31414948578,115756.31414948578,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
7981.639208646581,3128162.2731213057,1128162.2731213057,9577.43741825329,3378800.1480774367,1378800.1480774367,10864.899901392064,3.144444444444445,348.0,999999.9999999999,0.49999999999999994,2.7444444444444445,348.0,400000.0,0.2,2.768,300.0,0.0,0.0,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,4383.679442846728,1525520.4461106956,525520.4461106957,1668.1226431208506,710163.3736908728,310163.3736908728,710163.3736908728,424534.1501127096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,892478.4533197375,292478.45331973745,1028745.5518540319,428745.55185403186
