165,4.27%,3.72%,5.64%
166,4.28%,3.73%,5.66%
167,4.30%,3.74%,5.67%
168,4.31%,3.75%,5.69%
169,4.32%,3.76%,5.70%
170,4.33%,3.77%,5.72%
171,4.34%,3.78%,5.74%
172,4.36%,3.79%,5.75%
173,4.37%,3.80%,5.77%
174,4.38%,3.81%,5.78%
175,4.39%,3.82%,5.80%
176,4.40%,3.83%,5.81%
177,4.42%,3.84%,5.83%
178,4.43%,3.85%,5.85%
179,4.44%,3.86%,5.86%
180,4.45%,3.87%,5.88%
181,4.46%,3.88%,5.89%
182,4.47%,3.89%,5.90%
183,4.48%,3.90%,5.92%
184,4.49%,3.90%,5.93%
185,4.50%,3.91%,5.94%
186,4.51%,3.92%,5.95%
187,4.51%,3.93%,5.96%
188,4.52%,3.93%,5.97%
189,4.53%,3.94%,5.98%
190,4.54%,3.95%,5.99%
191,4.55%,3.95%,6.00%
192,4.56%,3.96%,6.01%
193,4.56%,3.97%,6.03%
194,4.57%,3.98%,6.04%
195,4.58%,3.98%,6.05%
196,4.59%,3.99%,6.06%
197,4.60%,4.00%,6.07%
198,4.61%,4.01%,6.08%
199,4.61%,4.01%,6.09%
200,4.62%,4.02%,6.10%
201,4.63%,4.03%,6.11%
202,4.64%,4.03%,6.12%
203,4.65%,4.04%,6.14%
204,4.66%,4.05%,6.15%
205,4.66%,4.06%,6.16%
206,4.67%,4.06%,6.17%
207,4.68%,4.07%,6.18%
208,4.69%,4.08%,6.19%
209,4.70%,4.09%,6.20%
210,4.71%,4.09%,6.21%
211,4.71%,4.10%,6.22%
212,4.72%,4.11%,6.23%
213,4.73%,4.11%,6.25%
214,4.74%,4.12%,6.26%
215,4.75%,4.13%,6.27%
216,4.76%,4.14%,6.28%
217,4.76%,4.14%,6.29%
218,4.77%,4.15%,6.30%
219,4.78%,4.16%,6.31%
220,4.79%,4.16%,6.32%
221,4.80%,4.17%,6.33%
222,4.81%,4.18%,6.34%
223,4.81%,4.19%,6.36%
224,4.82%,4.19%,6.37%
225,4.83%,4.20%,6.38%
226,4.84%,4.21%,6.39%
227,4.85%,4.22%,6.40%
228,4.86%,4.22%,6.41%
229,4.86%,4.23%,6.42%
230,4.87%,4.24%,6.43%
231,4.88%,4.24%,6.44%
232,4.89%,4.25%,6.45%
233,4.90%,4.26%,6.47%
234,4.91%,4.27%,6.48%
235,4.91%,4.27%,6.49%
236,4.92%,4.28%,6.50%
237,4.93%,4.29%,6.51%
238,4.94%,4.30%,6.52%
239,4.95%,4.30%,6.53%
240,4.96%,4.31%,6.54%
241,4.96%,4.31%,6.55%
242,4.97%,4.32%,6.55%
243,4.97%,4.32%,6.56%
244,4.97%,4.33%,6.57%
245,4.98%,4.33%,6.57%
246,4.98%,4.33%,6.58%
247,4.99%,4.34%,6.59%
248,4.99%,4.34%,6.59%
249,5.00%,4.35%,6.60%
250,5.00%,4.35%,6.60%
251,5.01%,4.35%,6.61%
252,5.01%,4.36%,6.62%
253,5.02%,4.36%,6.62%
254,5.02%,4.37%,6.63%
255,5.03%,4.37%,6.63%
256,5.03%,4.37%,6.64%
257,5.04%,4.38%,6.65%
258,5.04%,4.38%,6.65%
259,5.04%,4.39%,6.66%
260,5.05%,4.39%,6.67%
261,5.05%,4.39%,6.67%
262,5.06%,4.40%,6.68%
263,5.06%,4.40%,6.68%
264,5.07%,4.41%,6.69%
265,5.07%,4.41%,6.70%
266,5.08%,4.42%,6.70%
267,5.08%,4.42%,6.71%
268,5.09%,4.42%,6.71%
269,5.09%,4.43%,6.72%
270,5.10%,4.43%,6.73%
271,5.10%,4.44%,6.73%
272,5.11%,4.44%,6.74%
273,5.11%,4.44%,6.75%
274,5.11%,4.45%,6.75%
275,5.12%,4.45%,6.76%
276,5.12%,4.46%,6.76%
277,5.13%,4.46%,6.77%
278,5.13%,4.46%,6.78%
279,5.14%,4.47%,6.78%
280,5.14%,4.47%,6.79%
281,5.15%,4.48%,6.79%
282,5.15%,4.48%,6.80%
283,5.16%,4.48%,6.81%
284,5.16%,4.49%,6.81%
285,5.17%,4.49%,6.82%
286,5.17%,4.50%,6.83%
287,5.18%,4.50%,6.83%
288,5.18%,4.50%,6.84%
289,5.18%,4.51%,6.84%
290,5.19%,4.51%,6.85%
291,5.19%,4.52%,6.86%
292,5.20%,4.52%,6.86%
293,5.20%,4.52%,6.87%
294,5.21%,4.53%,6.87%
295,5.21%,4.53%,6.88%
296,5.22%,4.54%,6.89%
297,5.22%,4.54%,6.89%
298,5.23%,4.54%,6.90%
299,5.23%,4.55%,6.91%
300,5.24%,4.55%,6.91%
301,5.24%,4.56%,6.91%
302,5.24%,4.56%,6.92%
303,5.24%,4.56%,6.92%
304,5.25%,4.56%,6.92%
305,5.25%,4.56%,6.93%
306,5.25%,4.57%,6.93%
307,5.25%,4.57%,6.93%
308,5.26%,4.57%,6.94%
309,5.26%,4.57%,6.94%
310,5.26%,4.57%,6.94%
311,5.26%,4.58%,6.95%
312,5.27%,4.58%,6.95%
313,5.27%,4.58%,6.95%
314,5.27%,4.58%,6.96%
315,5.27%,4.59%,6.96%
